coverage,strategy,seed,has_fault,source_hidden,loc_n_windows_during,loc_detection_rate,loc_detected_episode,loc_top1,loc_within1,loc_median_station_error,loc_lead_time_min,loc_top1_episode,loc_within1_episode,fa_n_quiet_windows,fa_false_alarm_rate,mean_confidence,loc_first_alert_t_s,loc_first_correct_alert_t_s
1.0,random,8800,True,False,49.0,0.0,0.0,,,,,0.0,0.0,146,0.0,,,
1.0,random,8801,True,False,52.0,0.0,0.0,,,,,0.0,0.0,141,0.028368794326241134,0.9986248879597297,,
1.0,random,8802,False,,,,,,,,,,,200,0.015,0.9951553392396558,,
1.0,random,8803,False,,,,,,,,,,,200,0.04,0.998224316640816,,
1.0,random,8804,False,,,,,,,,,,,200,0.0,,,
1.0,random,8805,True,False,45.0,0.044444444444444446,1.0,0.0,0.0,16.0,,0.0,0.0,148,0.07432432432432433,0.9948875686969899,28455.425793400937,
1.0,random,8806,True,False,42.0,0.09523809523809523,1.0,0.0,0.0,16.0,,0.0,0.0,150,0.006666666666666667,0.9830665669984946,34280.59264035123,
1.0,random,8807,True,False,47.0,0.10638297872340426,1.0,0.0,0.0,16.0,,0.0,0.0,142,0.0,0.9996265503528269,34844.80938354698,
1.0,random,8808,False,,,,,,,,,,,200,0.0,,,
1.0,random,8809,True,False,63.0,0.9206349206349206,1.0,1.0,1.0,0.0,-47.946196220083465,1.0,1.0,128,0.0390625,0.999999999999982,27991.808738120875,27991.808738120875
0.75,random,8800,True,True,49.0,0.0,0.0,,,,,0.0,0.0,146,0.0,,,
0.75,random,8801,True,True,52.0,0.0,0.0,,,,,0.0,0.0,141,0.028368794326241134,0.96039959899201,,
0.75,random,8802,False,,,,,,,,,,,200,0.015,0.8537787607676397,,
0.75,random,8803,False,,,,,,,,,,,200,0.045,0.9411442460664294,,
0.75,random,8804,False,,,,,,,,,,,200,0.0,,,
0.75,random,8805,True,True,45.0,0.044444444444444446,1.0,0.0,0.0,17.0,,0.0,0.0,148,0.08108108108108109,0.9452704311997997,28455.425793400937,
0.75,random,8806,True,True,42.0,0.09523809523809523,1.0,0.0,0.0,17.0,,0.0,0.0,150,0.006666666666666667,0.9190168969045738,34280.59264035123,
0.75,random,8807,True,True,47.0,0.10638297872340426,1.0,0.0,0.0,16.0,,0.0,0.0,142,0.0,0.8259107279124025,34844.80938354698,
0.75,random,8808,False,,,,,,,,,,,200,0.01,0.8075996931716974,,
0.75,random,8809,True,True,63.0,0.9206349206349206,1.0,0.9482758620689655,1.0,0.0,-47.946196220083465,1.0,1.0,128,0.0390625,0.8945539590054454,27991.808738120875,27991.808738120875
0.75,critical,8800,True,True,49.0,0.0,0.0,,,,,0.0,0.0,146,0.0,,,
0.75,critical,8801,True,True,52.0,0.0,0.0,,,,,0.0,0.0,141,0.028368794326241134,0.96039959899201,,
0.75,critical,8802,False,,,,,,,,,,,200,0.015,0.8537787607676397,,
0.75,critical,8803,False,,,,,,,,,,,200,0.045,0.9411442460664294,,
0.75,critical,8804,False,,,,,,,,,,,200,0.0,,,
0.75,critical,8805,True,True,45.0,0.044444444444444446,1.0,0.0,0.0,17.0,,0.0,0.0,148,0.08108108108108109,0.9452704311997997,28455.425793400937,
0.75,critical,8806,True,True,42.0,0.09523809523809523,1.0,0.0,0.0,17.0,,0.0,0.0,150,0.006666666666666667,0.9190168969045738,34280.59264035123,
0.75,critical,8807,True,True,47.0,0.10638297872340426,1.0,0.0,0.0,16.0,,0.0,0.0,142,0.0,0.8259107279124025,34844.80938354698,
0.75,critical,8808,False,,,,,,,,,,,200,0.01,0.8075996931716974,,
0.75,critical,8809,True,True,63.0,0.9206349206349206,1.0,0.9482758620689655,1.0,0.0,-47.946196220083465,1.0,1.0,128,0.0390625,0.8945539590054454,27991.808738120875,27991.808738120875
0.5,random,8800,True,True,49.0,0.0,0.0,,,,,0.0,0.0,146,0.0,,,
0.5,random,8801,True,True,52.0,0.0,0.0,,,,,0.0,0.0,141,0.028368794326241134,0.9127352636140786,,
0.5,random,8802,False,,,,,,,,,,,200,0.02,0.9349431644546593,,
0.5,random,8803,False,,,,,,,,,,,200,0.055,0.9197332398717921,,
0.5,random,8804,False,,,,,,,,,,,200,0.0,,,
0.5,random,8805,True,True,45.0,0.044444444444444446,1.0,0.0,0.0,17.0,,0.0,0.0,148,0.08108108108108109,0.9594445806766871,28455.425793400937,
0.5,random,8806,True,True,42.0,0.09523809523809523,1.0,0.0,0.0,17.5,,0.0,0.0,150,0.013333333333333334,0.9484319013800343,34280.59264035123,
0.5,random,8807,True,True,47.0,0.10638297872340426,1.0,0.0,0.0,16.0,,0.0,0.0,142,0.0,0.9408118684517888,34844.80938354698,
0.5,random,8808,False,,,,,,,,,,,200,0.01,0.929192773809107,,
0.5,random,8809,True,True,63.0,0.9206349206349206,1.0,0.9655172413793104,1.0,0.0,-47.946196220083465,1.0,1.0,128,0.0390625,0.9097334922828583,27991.808738120875,27991.808738120875
0.5,critical,8800,True,True,49.0,0.02040816326530612,1.0,0.0,0.0,17.0,,0.0,0.0,146,0.0,0.9864520565539732,38627.784864299916,
0.5,critical,8801,True,True,52.0,0.0,0.0,,,,,0.0,0.0,141,0.028368794326241134,0.9788639077741801,,
0.5,critical,8802,False,,,,,,,,,,,200,0.035,0.9917213785461042,,
0.5,critical,8803,False,,,,,,,,,,,200,0.035,0.9771856209943885,,
0.5,critical,8804,False,,,,,,,,,,,200,0.0,,,
0.5,critical,8805,True,True,45.0,0.044444444444444446,1.0,0.0,0.0,17.0,,0.0,0.0,148,0.06756756756756757,0.9459594509964655,28115.35699534785,
0.5,critical,8806,True,True,42.0,0.11904761904761904,1.0,0.0,0.0,17.0,,0.0,0.0,150,0.006666666666666667,0.990488459978805,34280.59264035123,
0.5,critical,8807,True,True,47.0,0.10638297872340426,1.0,0.0,0.0,16.0,,0.0,0.0,142,0.0,0.8878445285747528,34844.80938354698,
0.5,critical,8808,False,,,,,,,,,,,200,0.02,0.9747259806091567,,
0.5,critical,8809,True,True,63.0,0.746031746031746,1.0,0.0,0.02127659574468085,4.0,-69.15867806336519,0.0,0.0,128,0.0234375,0.9448501121539483,28314.007239842093,29264.55764871778
0.25,random,8800,True,True,49.0,0.0,0.0,,,,,0.0,0.0,146,0.0,0.9999999818254759,,
0.25,random,8801,True,True,52.0,0.0,0.0,,,,,0.0,0.0,141,0.028368794326241134,0.9887702628347359,,
0.25,random,8802,False,,,,,,,,,,,200,0.03,0.9993875310582444,,
0.25,random,8803,False,,,,,,,,,,,200,0.01,0.9926767336240965,,
0.25,random,8804,False,,,,,,,,,,,200,0.0,,,
0.25,random,8805,True,True,45.0,0.044444444444444446,1.0,0.0,0.0,17.0,,0.0,0.0,148,0.033783783783783786,0.998428283128286,28455.425793400937,
0.25,random,8806,True,True,42.0,0.07142857142857142,1.0,0.0,0.0,17.0,,0.0,0.0,150,0.0,0.9978815527782955,34624.96294745623,
0.25,random,8807,True,True,47.0,0.06382978723404255,1.0,0.0,0.0,17.0,,0.0,0.0,142,0.0,0.9999999999999979,35542.47405977241,
0.25,random,8808,False,,,,,,,,,,,200,0.02,0.9941981470563772,,
0.25,random,8809,True,True,63.0,0.7301587301587301,1.0,0.0,0.043478260869565216,3.0,-174.73714990484115,0.0,0.0,128,0.0234375,0.9642018719214367,28314.007239842093,35599.265959206336
0.25,critical,8800,True,True,49.0,0.0,0.0,,,,,0.0,0.0,146,0.0,,,
0.25,critical,8801,True,True,52.0,0.0,0.0,,,,,0.0,0.0,141,0.028368794326241134,0.9879618783091996,,
0.25,critical,8802,False,,,,,,,,,,,200,0.045,0.9978020830877953,,
0.25,critical,8803,False,,,,,,,,,,,200,0.025,0.9962225260644383,,
0.25,critical,8804,False,,,,,,,,,,,200,0.0,,,
0.25,critical,8805,True,True,45.0,0.044444444444444446,1.0,0.0,0.0,17.0,,0.0,0.0,148,0.0472972972972973,0.998609261996914,28455.425793400937,
0.25,critical,8806,True,True,42.0,0.09523809523809523,1.0,0.0,0.0,17.0,,0.0,0.0,150,0.006666666666666667,0.997254247172533,34280.59264035123,
0.25,critical,8807,True,True,47.0,0.06382978723404255,1.0,0.0,0.0,17.0,,0.0,0.0,142,0.0,0.8355823560625236,35542.47405977241,
0.25,critical,8808,False,,,,,,,,,,,200,0.03,0.9900011449389378,,
0.25,critical,8809,True,True,63.0,0.6984126984126984,1.0,0.0,0.0,8.0,,0.0,0.0,128,0.0390625,0.9673924553905021,29264.55764871778,
0.12,random,8800,True,True,49.0,0.02040816326530612,1.0,0.0,0.0,17.0,,0.0,0.0,146,0.0,0.999818984009783,38627.784864299916,
0.12,random,8801,True,True,52.0,0.0,0.0,,,,,0.0,0.0,141,0.04964539007092199,0.9995166143423582,,
0.12,random,8802,False,,,,,,,,,,,200,0.06,0.9973302134984318,,
0.12,random,8803,False,,,,,,,,,,,200,0.055,0.996339757543534,,
0.12,random,8804,False,,,,,,,,,,,200,0.0,,,
0.12,random,8805,True,True,45.0,0.06666666666666667,1.0,0.0,0.0,17.0,,0.0,0.0,148,0.060810810810810814,0.9998406023324582,28455.425793400937,
0.12,random,8806,True,True,42.0,0.11904761904761904,1.0,0.0,0.0,17.0,,0.0,0.0,150,0.02,0.9997250327747298,34280.59264035123,
0.12,random,8807,True,True,47.0,0.0851063829787234,1.0,0.0,0.0,17.0,,0.0,0.0,142,0.0,0.9986619180415572,35227.08751381604,
0.12,random,8808,False,,,,,,,,,,,200,0.06,0.9989166325452098,,
0.12,random,8809,True,True,63.0,0.9206349206349206,1.0,0.0,0.0,8.0,,0.0,0.0,128,0.0390625,0.9746395427651957,27991.808738120875,
0.12,critical,8800,True,True,49.0,0.02040816326530612,1.0,0.0,0.0,17.0,,0.0,0.0,146,0.0,0.999818984009783,38627.784864299916,
0.12,critical,8801,True,True,52.0,0.0,0.0,,,,,0.0,0.0,141,0.04964539007092199,0.9995166143423582,,
0.12,critical,8802,False,,,,,,,,,,,200,0.06,0.9973302134984318,,
0.12,critical,8803,False,,,,,,,,,,,200,0.055,0.996339757543534,,
0.12,critical,8804,False,,,,,,,,,,,200,0.0,,,
0.12,critical,8805,True,True,45.0,0.06666666666666667,1.0,0.0,0.0,17.0,,0.0,0.0,148,0.060810810810810814,0.9998406023324582,28455.425793400937,
0.12,critical,8806,True,True,42.0,0.11904761904761904,1.0,0.0,0.0,17.0,,0.0,0.0,150,0.02,0.9997250327747298,34280.59264035123,
0.12,critical,8807,True,True,47.0,0.0851063829787234,1.0,0.0,0.0,17.0,,0.0,0.0,142,0.0,0.9986619180415572,35227.08751381604,
0.12,critical,8808,False,,,,,,,,,,,200,0.06,0.9989166325452098,,
0.12,critical,8809,True,True,63.0,0.9206349206349206,1.0,0.0,0.0,8.0,,0.0,0.0,128,0.0390625,0.9746395427651957,27991.808738120875,
