coverage,method,mag_band,seed,source_hidden,magnitude,threshold,true_station,target_fpr,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,lead_time_min,top1_episode,within1_episode,false_alarm_rate,first_alert_t_s,first_correct_alert_t_s,n_episodes
0.25,B0_SPC_observed,1.20-1.30x,5044.736842105263,1.0,1.2496019178908064,4.674774997918179,19.842105263157894,0.01,55.26315789473684,0.006617628148491056,0.21052631578947367,0.0,0.0,9.75,,0.0,0.0,0.005131872322947838,41608.28954829084,,19
0.25,B0_SPC_observed,1.30-1.50x,5062.25,0.9,1.3745456794313515,4.674774997918179,19.55,0.01,52.4,0.07880297122232606,0.3,0.3284313725490196,0.3284313725490196,12.5,207.51694934737424,0.1,0.1,0.011264641329532005,32735.227686105758,33127.186237845286,20
0.25,B0_SPC_observed,<=1.20x,5060.444444444444,1.0,1.1652714916062774,4.674774997918179,18.333333333333332,0.01,64.66666666666667,0.007440174692150109,0.3333333333333333,0.0,0.0,19.0,,0.0,0.0,0.007033370669734307,38218.723655835085,,9
0.25,B0_SPC_observed,quality drift,5049.933333333333,1.0,9.900376846245072,4.674774997918179,20.433333333333334,0.01,58.7,0.0018458599444514938,0.13333333333333333,0.0,0.0,9.0,,0.0,0.0,0.003567070383454891,43691.00830791527,,30
0.25,B1_IsolationForest,1.20-1.30x,5044.736842105263,1.0,1.2496019178908064,0.7158774793615637,19.842105263157894,0.01,55.26315789473684,0.08610317467294064,0.3684210526315789,0.0,0.0,8.428571428571429,,0.0,0.0,0.00574749175451547,32361.87179091928,,19
0.25,B1_IsolationForest,1.30-1.50x,5062.25,0.9,1.3745456794313515,0.7158774793615637,19.55,0.01,52.4,0.27346552389066964,0.8,0.0,0.012276785714285714,8.6875,112.21142804403334,0.0,0.0,0.008845443336957321,30490.089457222635,22919.220921976248,20
0.25,B1_IsolationForest,<=1.20x,5060.444444444444,1.0,1.1652714916062774,0.7158774793615637,18.333333333333332,0.01,64.66666666666667,0.01573836418813682,0.4444444444444444,0.0,0.0,9.625,,0.0,0.0,0.003422861218963168,32228.856290281678,,9
0.25,B1_IsolationForest,quality drift,5049.933333333333,1.0,9.900376846245072,0.7158774793615638,20.433333333333334,0.01,58.7,0.004430061802943159,0.2,0.0,0.0,12.333333333333334,,0.0,0.0,0.006452716459525648,39022.632250009236,,30
0.25,B2_observed_only_twin,1.20-1.30x,5044.736842105263,1.0,1.2496019178908064,23.87066583332845,19.842105263157894,0.01,55.26315789473684,0.2431906530156483,0.47368421052631576,0.0,0.2222222222222222,2.6666666666666665,,0.0,0.10526315789473684,0.0044489363962817805,29831.14267684253,,19
0.25,B2_observed_only_twin,1.30-1.50x,5062.25,0.9,1.3745456794313515,23.87066583332845,19.55,0.01,52.4,0.5233362091616295,1.0,0.1,0.25,2.35,194.81651229710732,0.1,0.25,0.021153362953742087,30176.18719157391,25926.064163826555,20
0.25,B2_observed_only_twin,<=1.20x,5060.444444444444,1.0,1.1652714916062774,23.87066583332845,18.333333333333332,0.01,64.66666666666667,0.011304684475416181,0.2222222222222222,0.0,0.0,16.0,,0.0,0.0,0.002568160364262313,36139.673129784365,,9
0.25,B2_observed_only_twin,quality drift,5049.933333333333,1.0,9.900376846245072,23.87066583332845,20.433333333333334,0.01,58.7,0.014733835530445698,0.16666666666666666,0.0,0.2,16.0,,0.0,0.03333333333333333,0.003939418517149702,29997.728453777294,,30
0.25,B3_TurningPoint,1.20-1.30x,5044.736842105263,1.0,1.2496019178908064,0.39660743155955724,19.842105263157894,0.01,55.26315789473684,0.177780617588381,0.5263157894736842,0.0,0.19536842105263158,8.3,,0.0,0.10526315789473684,0.012372030442583193,29164.43707049378,,19
0.25,B3_TurningPoint,1.30-1.50x,5062.25,0.9,1.3745456794313515,0.39660743155955724,19.55,0.01,52.4,0.43455856479946375,0.9,0.04040404040404041,0.16011175585643672,3.5555555555555554,31.232450121833125,0.05,0.15,0.016103566387856795,30532.358973955612,35741.107894343004,20
0.25,B3_TurningPoint,<=1.20x,5060.444444444444,1.0,1.1652714916062774,0.39660743155955724,18.333333333333332,0.01,64.66666666666667,0.013948437305196296,0.3333333333333333,0.0,0.3333333333333333,16.333333333333332,,0.0,0.1111111111111111,0.011036148592370482,33817.4579720211,,9
0.25,B3_TurningPoint,quality drift,5049.933333333333,1.0,9.900376846245072,0.39660743155955724,20.433333333333334,0.01,58.7,0.009737186861237123,0.23333333333333334,0.0,0.07142857142857142,20.0,,0.0,0.0,0.011398168474849917,31063.290976598528,,30
0.25,RippleTwin,1.20-1.30x,5044.736842105263,1.0,1.2496019178908064,23.87887940963418,19.842105263157894,0.01,55.26315789473684,0.2459311522780949,0.47368421052631576,0.21608911986736845,0.4049059139784946,1.6666666666666667,,0.10526315789473684,0.21052631578947367,0.00516496276546983,29532.246151003128,,19
