regime,seed,has_fault,loc_n_windows_during,loc_detection_rate,loc_detected_episode,loc_top1,loc_within1,loc_median_station_error,loc_lead_time_min,loc_top1_episode,loc_within1_episode,fa_n_quiet_windows,fa_false_alarm_rate,mean_confidence,loc_first_alert_t_s,loc_first_correct_alert_t_s
matched,9500,True,60.0,0.0,0.0,,,,,0.0,0.0,133,0.007518796992481203,0.9999999966684994,,
matched,9501,True,58.0,0.1724137931034483,1.0,0.0,0.0,17.5,,0.0,0.0,138,0.014492753623188406,0.8794437428359919,37185.99546383137,
matched,9502,True,47.0,0.0,0.0,,,,,0.0,0.0,143,0.013986013986013986,0.5993365399747708,,
matched,9503,True,74.0,0.8243243243243243,1.0,1.0,1.0,0.0,-12.981521760119964,1.0,1.0,121,0.0,0.9999999980167109,38901.96627454732,38901.96627454732
matched,9504,True,62.0,0.016129032258064516,1.0,0.0,0.0,6.0,,0.0,0.0,129,0.0,0.882131943741209,31506.1460116193,
matched,9505,True,63.0,0.8571428571428571,1.0,1.0,1.0,0.0,24.90549384621069,1.0,1.0,131,0.022900763358778626,0.9999999941194847,26931.909430397092,26931.909430397092
matched,9506,True,55.0,0.01818181818181818,1.0,0.0,0.0,8.0,,0.0,0.0,136,0.0,0.8153151624150301,36988.75539845521,
matched,9507,False,,,,,,,,,,200,0.0,,,
matched,9508,True,59.0,0.0,0.0,,,,,0.0,0.0,138,0.007246376811594203,0.7861312388805075,,
matched,9509,True,43.0,1.0,1.0,1.0,1.0,0.0,-22.59896968535686,1.0,1.0,148,0.006756756756756757,0.9999999924213975,21757.330804938578,21757.330804938578
matched,9510,True,53.0,0.7924528301886793,1.0,1.0,1.0,0.0,22.212719407823535,1.0,1.0,144,0.006944444444444444,0.999999999995989,38694.9710100144,38694.9710100144
matched,9511,True,47.0,0.7021276595744681,1.0,1.0,1.0,0.0,-81.9246263937183,1.0,1.0,147,0.10204081632653061,0.884355792204385,44940.05931205029,44940.05931205029
shifted,9500,True,58.0,0.034482758620689655,1.0,0.0,0.0,27.0,,0.0,0.0,135,0.007407407407407408,0.7585111180931107,44057.087615132215,
shifted,9501,True,58.0,0.017241379310344827,1.0,0.0,0.0,17.0,,0.0,0.0,138,0.0,0.5106419819805406,31872.470636573646,
shifted,9502,True,46.0,0.6086956521739131,1.0,1.0,1.0,0.0,-20.36851333585946,1.0,1.0,144,0.006944444444444444,0.9965658593750899,34534.12097596845,34534.12097596845
shifted,9503,True,73.0,0.9178082191780822,1.0,1.0,1.0,0.0,-38.688336784857775,1.0,1.0,122,0.02459016393442623,0.994480615680669,37063.24343113252,37063.24343113252
shifted,9504,True,62.0,0.0,0.0,,,,,0.0,0.0,129,0.023255813953488372,0.9999999630655451,,
shifted,9505,True,61.0,0.8524590163934426,1.0,1.0,1.0,0.0,27.637826195065827,1.0,1.0,133,0.007518796992481203,1.0,26838.310185830145,26838.310185830145
shifted,9506,True,55.0,0.10909090909090909,1.0,1.0,1.0,0.0,-199.12475592149744,1.0,1.0,135,0.0,0.8525927614680878,38364.7692592627,38364.7692592627
shifted,9507,False,,,,,,,,,,200,0.035,0.9317634167014609,,
shifted,9508,True,58.0,0.034482758620689655,1.0,0.0,0.0,5.0,,0.0,0.0,139,0.0,0.9999999999999456,43831.356254146645,
shifted,9509,True,44.0,0.9318181818181818,1.0,1.0,1.0,0.0,-22.913694232255086,1.0,1.0,148,0.006756756756756757,0.9998570084276269,21853.724373269928,21853.724373269928
shifted,9510,True,50.0,0.8,1.0,1.0,1.0,0.0,26.595814070387252,1.0,1.0,147,0.034013605442176874,0.9999465755375985,38731.96818659165,38731.96818659165
shifted,9511,True,47.0,0.6808510638297872,1.0,0.875,1.0,0.0,-92.87558633162516,1.0,1.0,147,0.11564625850340136,0.8796497884665926,45344.55412441424,45344.55412441424
