scenario,seed,has_fault,source_hidden,true_onset_s,n_windows,missed,false_alarm,lead_time_min,lead_time_any_station_min,first_warning_t_s,n_false_alarm_windows
S6_EARLY_WARNING,6000,True,True,41079.770831662405,400,1.0,0.0,,-415.0992696821782,,
S6_EARLY_WARNING,6001,True,True,41079.770831662405,400,0.0,0.0,-97.63375975283853,23.226117279669417,46937.796416832716,
S6_EARLY_WARNING,6002,True,True,40416.72865557549,400,0.0,0.0,-80.24657961792703,-51.16466070327418,45231.52343265111,
S6_EARLY_WARNING,6003,True,True,41079.770831662405,400,1.0,0.0,,42.60614069043319,,
S6_EARLY_WARNING,6004,True,True,40416.72865557549,400,0.0,0.0,-144.47341003604464,-68.9716272288064,49085.13325773817,
S6_EARLY_WARNING,6005,True,True,41079.770831662405,400,1.0,0.0,,77.93696994668535,,
EP9000_QUALITY_DRIFT,9077,True,True,,200,1.0,0.0,,,,
EP9001_COMBINED,9078,True,False,26039.225941753226,200,0.0,0.0,6.521787940139135,6.521787940139135,25647.918665344878,
EP9002_CLEAN,9079,False,,,200,,1.0,,,,14.0
EP9003_CLEAN,9080,False,,,200,,1.0,,,,7.0
EP9004_MICROSTOP_BURST,9081,True,True,,200,1.0,0.0,,,,
EP9005_COMBINED,9082,True,False,19117.079166426523,200,0.0,0.0,-34.68429246820015,72.46541055865212,21198.136714518532,
EP9006_SLOWDOWN,9083,True,True,18914.821850567238,200,1.0,0.0,,,,
EP9007_CLEAN,9084,False,,,200,,1.0,,,,13.0
EP9008_QUALITY_DRIFT,9085,True,False,,200,1.0,0.0,,,,
EP9009_QUALITY_DRIFT,9086,True,True,,200,1.0,0.0,,,,
EP9010_COMBINED,9087,True,True,34575.12770810812,200,0.0,0.0,-67.59117332521055,-67.59117332521055,38630.59810762075,
EP9011_MICROSTOP_BURST,9088,True,True,,200,1.0,0.0,,,,
EP9012_COMBINED,9089,True,False,26894.35143313632,200,0.0,0.0,23.407846633262672,23.407846633262672,25489.88063514056,
EP9013_CLEAN,9090,False,,,200,,1.0,,,,1.0
EP9014_CLEAN,9091,False,,,200,,1.0,,,,6.0
EP9015_CLEAN,9092,False,,,200,,1.0,,,,17.0
