split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,true_station,n_quiet_windows,false_alarm_rate
tune,1000,1.0,RippleTwin,SLOWDOWN,False,1.3039152979422162,42.5638498837417,29.0,140,0.05714285714285714
tune,1000,1.0,B2_observed_only_twin,SLOWDOWN,False,1.3039152979422162,42.5638498837417,29.0,140,0.05714285714285714
tune,1000,1.0,B0_SPC_observed,SLOWDOWN,False,1.3039152979422162,5.124273832797681,29.0,140,0.07857142857142857
tune,1000,1.0,B3_TurningPoint,SLOWDOWN,False,1.3039152979422162,0.4108436123761012,29.0,140,0.0
tune,1000,1.0,B1_IsolationForest,SLOWDOWN,False,1.3039152979422162,0.7784702529546166,29.0,140,0.10714285714285714
tune,1000,0.75,RippleTwin,SLOWDOWN,False,1.3039152979422162,31.30364205825687,29.0,140,0.06428571428571428
tune,1000,0.75,B2_observed_only_twin,SLOWDOWN,False,1.3039152979422162,31.30364205825687,29.0,140,0.06428571428571428
tune,1000,0.75,B0_SPC_observed,SLOWDOWN,False,1.3039152979422162,5.061702559429017,29.0,140,0.07857142857142857
tune,1000,0.75,B3_TurningPoint,SLOWDOWN,False,1.3039152979422162,0.41240313011539886,29.0,140,0.0
tune,1000,0.75,B1_IsolationForest,SLOWDOWN,False,1.3039152979422162,0.7423023198141773,29.0,140,0.04285714285714286
tune,1000,0.5,RippleTwin,SLOWDOWN,False,1.3039152979422162,39.99294167411538,29.0,140,0.05714285714285714
tune,1000,0.5,B2_observed_only_twin,SLOWDOWN,False,1.3039152979422162,39.987745614480566,29.0,140,0.05714285714285714
tune,1000,0.5,B0_SPC_observed,SLOWDOWN,False,1.3039152979422162,5.012127239822025,29.0,140,0.07857142857142857
tune,1000,0.5,B3_TurningPoint,SLOWDOWN,False,1.3039152979422162,0.40563520887847676,29.0,140,0.0
tune,1000,0.5,B1_IsolationForest,SLOWDOWN,False,1.3039152979422162,0.7423023198141773,29.0,140,0.04285714285714286
tune,1000,0.25,RippleTwin,SLOWDOWN,True,1.3039152979422162,23.87887940963418,29.0,140,0.0
tune,1000,0.25,B2_observed_only_twin,SLOWDOWN,True,1.3039152979422162,23.87066583332845,29.0,140,0.0
tune,1000,0.25,B0_SPC_observed,SLOWDOWN,True,1.3039152979422162,4.674774997918179,29.0,140,0.014285714285714285
tune,1000,0.25,B3_TurningPoint,SLOWDOWN,True,1.3039152979422162,0.39660743155955724,29.0,140,0.0
tune,1000,0.25,B1_IsolationForest,SLOWDOWN,True,1.3039152979422162,0.7158774793615637,29.0,140,0.0
tune,1001,1.0,RippleTwin,COMBINED,False,1.1636215766230222,42.5638498837417,17.0,125,0.032
tune,1001,1.0,B2_observed_only_twin,COMBINED,False,1.1636215766230222,42.5638498837417,17.0,125,0.032
tune,1001,1.0,B0_SPC_observed,COMBINED,False,1.1636215766230222,5.124273832797681,17.0,125,0.016
tune,1001,1.0,B3_TurningPoint,COMBINED,False,1.1636215766230222,0.4108436123761012,17.0,125,0.0
tune,1001,1.0,B1_IsolationForest,COMBINED,False,1.1636215766230222,0.7784702529546166,17.0,125,0.0
tune,1001,0.75,RippleTwin,COMBINED,True,1.1636215766230222,31.30364205825687,17.0,125,0.024
tune,1001,0.75,B2_observed_only_twin,COMBINED,True,1.1636215766230222,31.30364205825687,17.0,125,0.024
tune,1001,0.75,B0_SPC_observed,COMBINED,True,1.1636215766230222,5.061702559429017,17.0,125,0.024
tune,1001,0.75,B3_TurningPoint,COMBINED,True,1.1636215766230222,0.41240313011539886,17.0,125,0.0
