regime,seed,has_fault,loc_n_windows_during,loc_detection_rate,loc_detected_episode,loc_top1,loc_within1,loc_median_station_error,loc_top1_episode,loc_within1_episode,loc_lead_time_min,loc_first_correct_alert_t_s,loc_first_alert_t_s
baseline,9200,False,,,,,,,,,,,
baseline,9201,True,50.0,0.94,1.0,1.0,1.0,0.0,1.0,1.0,-47.03790158144323,27244.55421311569,27244.55421311569
baseline,9202,False,,,,,,,,,,,
baseline,9203,False,,,,,,,,,,,
baseline,9204,True,50.0,0.64,1.0,0.0,0.9375,1.0,0.0,1.0,2.4958691971046694,40813.604407852436,40813.604407852436
baseline,9205,True,68.0,0.058823529411764705,1.0,0.0,0.0,8.0,0.0,0.0,,,54325.9412429046
baseline,9206,True,45.0,0.9111111111111111,1.0,0.975609756097561,1.0,0.0,1.0,1.0,-57.56262122187818,29232.717365458382,29232.717365458382
baseline,9207,True,39.0,0.20512820512820512,1.0,1.0,1.0,0.0,1.0,1.0,-153.2364507859505,34646.323011332744,34646.323011332744
baseline,9208,True,49.0,0.8367346938775511,1.0,1.0,1.0,0.0,1.0,1.0,-3.164092720655693,29824.23173537636,29824.23173537636
baseline,9209,True,66.0,0.803030303030303,1.0,1.0,1.0,0.0,1.0,1.0,-95.92168016113767,43774.75656133775,43774.75656133775
baseline,9210,False,,,,,,,,,,,
baseline,9211,True,34.0,0.0,0.0,,,,0.0,0.0,,,
baseline,9212,True,48.0,0.0,0.0,,,,0.0,0.0,,,
baseline,9213,True,44.0,0.0,0.0,,,,0.0,0.0,,,
with_feedback,9200,False,,,,,,,,,,,
with_feedback,9201,True,50.0,0.94,1.0,1.0,1.0,0.0,1.0,1.0,-47.03790158144323,27244.55421311569,27244.55421311569
with_feedback,9202,False,,,,,,,,,,,
with_feedback,9203,False,,,,,,,,,,,
with_feedback,9204,True,50.0,0.64,1.0,0.0,0.9375,1.0,0.0,1.0,2.4958691971046694,40813.604407852436,40813.604407852436
with_feedback,9205,True,68.0,0.058823529411764705,1.0,0.0,0.0,8.0,0.0,0.0,,,54325.9412429046
with_feedback,9206,True,45.0,0.9111111111111111,1.0,0.975609756097561,1.0,0.0,1.0,1.0,-57.56262122187818,29232.717365458382,29232.717365458382
with_feedback,9207,True,39.0,0.20512820512820512,1.0,1.0,1.0,0.0,1.0,1.0,-153.2364507859505,34646.323011332744,34646.323011332744
with_feedback,9208,True,49.0,0.8367346938775511,1.0,1.0,1.0,0.0,1.0,1.0,-3.164092720655693,29824.23173537636,29824.23173537636
with_feedback,9209,True,66.0,0.803030303030303,1.0,1.0,1.0,0.0,1.0,1.0,-95.92168016113767,43774.75656133775,43774.75656133775
with_feedback,9210,False,,,,,,,,,,,
with_feedback,9211,True,34.0,0.0,0.0,,,,0.0,0.0,,,
with_feedback,9212,True,48.0,0.0,0.0,,,,0.0,0.0,,,
with_feedback,9213,True,44.0,0.0,0.0,,,,0.0,0.0,,,
