coverage,method,seed,source_hidden,magnitude,threshold,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,top1_episode,within1_episode,lead_time_min,first_alert_t_s,first_correct_alert_t_s,n_episodes
0.25,B0_SPC_observed,5054.979166666667,0.9583333333333334,1.2858498636043512,4.936240980386517,55.770833333333336,0.03644749345867191,0.20833333333333334,0.19696969696969696,0.19696969696969696,15.65,0.041666666666666664,0.041666666666666664,208.60422583548328,37739.87098703748,33061.949648558744,48
0.25,B1_IsolationForest,5054.979166666667,0.9583333333333334,1.2858498636043512,0.7090738077922257,55.770833333333336,0.26526836554571603,0.7291666666666666,0.0,0.08721804511278194,6.314285714285714,0.0,0.0625,,30416.888247177878,,48
0.25,B2_observed_only_twin,5054.979166666667,0.9583333333333334,1.2858498636043512,26.16854240005163,55.770833333333336,0.2853479207112858,0.6041666666666666,0.06896551724137931,0.2413793103448276,3.2758620689655173,0.041666666666666664,0.14583333333333334,195.96368291869953,30783.505945404377,25857.233926531022,48
0.25,RippleTwin,5054.979166666667,0.9583333333333334,1.2858498636043512,27.136223649542885,55.770833333333336,0.2739963130748901,0.6041666666666666,0.21409431843899143,0.40764630344078373,2.7586206896551726,0.14583333333333334,0.25,101.14546905596785,30783.981511728773,31993.826395312404,48
0.5,B0_SPC_observed,5054.979166666667,0.7291666666666666,1.2858498636043512,5.237133527699475,55.770833333333336,0.17943830303409572,0.4166666666666667,0.6407407407407407,0.6407407407407407,3.925,0.2708333333333333,0.2708333333333333,173.19223193135701,29785.48057266743,26231.912148239993,48
0.5,B1_IsolationForest,5054.979166666667,0.7291666666666666,1.2858498636043512,0.7565752413847274,55.770833333333336,0.05444762065297737,0.4583333333333333,0.0,0.12525252525252525,6.2272727272727275,0.0,0.0625,379.9046449946394,31728.821925092125,21959.85332432925,48
0.5,B2_observed_only_twin,5054.979166666667,0.7291666666666666,1.2858498636043512,42.892326734815505,55.770833333333336,0.32819126821150774,0.625,0.32978723404255317,0.7193705673758866,2.3,0.20833333333333334,0.4583333333333333,199.51097373821545,30282.37644166786,26758.52918223167,48
0.5,RippleTwin,5054.979166666667,0.7291666666666666,1.2858498636043512,42.892326734815505,55.770833333333336,0.3283306943293494,0.6458333333333334,0.7114984730762013,0.7284231297185999,1.7903225806451613,0.4791666666666667,0.4791666666666667,174.29875617272347,30574.986440967852,28221.241085559643,48
0.75,B0_SPC_observed,5054.979166666667,0.5625,1.2858498636043512,5.237133527699475,55.770833333333336,0.3020999951560224,0.5208333333333334,0.8292558979147215,0.8292558979147215,1.16,0.4375,0.4375,180.7827155938045,28627.841236429285,26107.019407670337,48
0.75,B1_IsolationForest,5054.979166666667,0.5625,1.2858498636043512,0.7565752413847274,55.770833333333336,0.15147854120314747,0.5833333333333334,0.0,0.24246451864047683,4.285714285714286,0.0,0.16666666666666666,159.4116940335593,30314.059631882534,31254.046949552023,48
0.75,B2_observed_only_twin,5054.979166666667,0.5625,1.2858498636043512,32.119525394492335,55.770833333333336,0.42126637101429787,0.7708333333333334,0.48428019856591287,0.8783560926418069,1.4864864864864864,0.375,0.6875,177.5716248469986,29946.856202556322,27825.335487680968,48
0.75,RippleTwin,5054.979166666667,0.5625,1.2858498636043512,32.119525394492335,55.770833333333336,0.4280095936784955,0.7916666666666666,0.8283592827008923,0.8560389067907865,1.263157894736842,0.6875,0.6875,178.10006423247265,29911.234095843454,27793.629124552524,48
1.0,B0_SPC_observed,5054.979166666667,0.0,1.2858498636043512,5.237133527699475,55.770833333333336,0.6335192641192015,1.0,0.9919735579416952,0.9919735579416952,0.0,1.0,1.0,230.1527174105703,27618.686716069715,25982.71231034287,48
1.0,B1_IsolationForest,5054.979166666667,0.0,1.2858498636043512,0.7565752413847274,55.770833333333336,0.1626995670411088,0.6041666666666666,0.034482758620689655,0.2915749375379317,4.172413793103448,0.020833333333333332,0.20833333333333334,218.55359662728003,30078.374581684075,28183.975134696433,48
1.0,B2_observed_only_twin,5054.979166666667,0.0,1.2858498636043512,45.562612595121664,55.770833333333336,0.4787151716364175,0.8541666666666666,0.9247535028541775,0.9247535028541775,0.9512195121951219,0.7916666666666666,0.7916666666666666,231.08874099689115,29554.986460517957,25288.570035286284,48
1.0,RippleTwin,5054.979166666667,0.0,1.2858498636043512,45.562612595121664,55.770833333333336,0.4787151716364175,0.8541666666666666,0.9247535028541775,0.9247535028541775,0.9512195121951219,0.7916666666666666,0.7916666666666666,231.08874099689115,29554.986460517957,25288.570035286284,48
