split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,target_fpr,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,lead_time_min,top1_episode,within1_episode,false_alarm_rate,first_alert_t_s,first_correct_alert_t_s
test,5000,1.0,RippleTwin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,0.005,70,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5000,1.0,RippleTwin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,0.01,70,0.04285714285714286,1.0,0.0,0.0,16.0,,0.0,0.0,0.0,33765.52849543898,
test,5000,1.0,RippleTwin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,0.02,70,0.1,1.0,0.0,0.0,16.0,,0.0,0.0,0.0,32519.777761688987,
test,5000,1.0,RippleTwin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,0.05,70,0.2,1.0,0.35714285714285715,0.35714285714285715,16.0,,0.0,0.0,0.0,32519.777761688987,
test,5000,1.0,RippleTwin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,0.1,70,0.5571428571428572,1.0,0.6666666666666666,0.6666666666666666,0.0,,1.0,1.0,0.031746031746031744,29213.92771848805,
test,5000,1.0,B2_observed_only_twin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,0.005,70,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5000,1.0,B2_observed_only_twin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,0.01,70,0.04285714285714286,1.0,0.0,0.0,16.0,,0.0,0.0,0.0,33765.52849543898,
test,5000,1.0,B2_observed_only_twin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,0.02,70,0.1,1.0,0.0,0.0,16.0,,0.0,0.0,0.0,32519.777761688987,
test,5000,1.0,B2_observed_only_twin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,0.05,70,0.2,1.0,0.35714285714285715,0.35714285714285715,16.0,,0.0,0.0,0.0,32519.777761688987,
test,5000,1.0,B2_observed_only_twin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,0.1,70,0.5571428571428572,1.0,0.6666666666666666,0.6666666666666666,0.0,,1.0,1.0,0.031746031746031744,29213.92771848805,
test,5000,1.0,B0_SPC_observed,SLOWDOWN,False,1.1949660821520764,5.124273832797681,0.005,70,0.08571428571428572,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,37069.42163053836,
test,5000,1.0,B0_SPC_observed,SLOWDOWN,False,1.1949660821520764,5.124273832797681,0.01,70,0.35714285714285715,1.0,0.96,0.96,0.0,,1.0,1.0,0.007936507936507936,29213.92771848805,
test,5000,1.0,B0_SPC_observed,SLOWDOWN,False,1.1949660821520764,5.124273832797681,0.02,70,0.42857142857142855,1.0,0.9666666666666667,0.9666666666666667,0.0,,1.0,1.0,0.015873015873015872,29213.92771848805,
test,5000,1.0,B0_SPC_observed,SLOWDOWN,False,1.1949660821520764,5.124273832797681,0.05,70,0.7,1.0,0.9591836734693877,0.9591836734693877,0.0,,1.0,1.0,0.023809523809523808,28917.330695284207,
test,5000,1.0,B0_SPC_observed,SLOWDOWN,False,1.1949660821520764,5.124273832797681,0.1,70,0.7857142857142857,1.0,0.9454545454545454,0.9454545454545454,0.0,,1.0,1.0,0.023809523809523808,28917.330695284207,
test,5000,1.0,B1_IsolationForest,SLOWDOWN,False,1.1949660821520764,0.7784702529546166,0.005,70,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5000,1.0,B1_IsolationForest,SLOWDOWN,False,1.1949660821520764,0.7784702529546166,0.01,70,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5000,1.0,B1_IsolationForest,SLOWDOWN,False,1.1949660821520764,0.7784702529546166,0.02,70,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5000,1.0,B1_IsolationForest,SLOWDOWN,False,1.1949660821520764,0.7784702529546166,0.05,70,0.0,0.0,,,,,0.0,0.0,0.06349206349206349,,
test,5000,1.0,B1_IsolationForest,SLOWDOWN,False,1.1949660821520764,0.7784702529546166,0.1,70,0.02857142857142857,1.0,0.0,0.0,11.5,,0.0,0.0,0.09523809523809523,33765.52849543898,
test,5000,0.75,RippleTwin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,0.005,70,0.04285714285714286,1.0,0.0,0.0,17.0,,0.0,0.0,0.0,33765.52849543898,
test,5000,0.75,RippleTwin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,0.01,70,0.04285714285714286,1.0,0.0,0.0,17.0,,0.0,0.0,0.0,33765.52849543898,
test,5000,0.75,RippleTwin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,0.02,70,0.07142857142857142,1.0,0.0,0.0,17.0,,0.0,0.0,0.0,32519.777761688987,
test,5000,0.75,RippleTwin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,0.05,70,0.08571428571428572,1.0,0.0,0.0,17.0,,0.0,0.0,0.0,32519.777761688987,
test,5000,0.75,RippleTwin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,0.1,70,0.15714285714285714,1.0,0.0,0.0,17.0,,0.0,0.0,0.03968253968253968,31009.370273417157,
test,5000,0.75,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,0.005,70,0.04285714285714286,1.0,0.0,0.0,16.0,,0.0,0.0,0.0,33765.52849543898,
test,5000,0.75,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,0.01,70,0.04285714285714286,1.0,0.0,0.0,16.0,,0.0,0.0,0.0,33765.52849543898,
test,5000,0.75,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,0.02,70,0.07142857142857142,1.0,0.0,0.0,16.0,,0.0,0.0,0.0,32519.777761688987,
test,5000,0.75,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,0.05,70,0.08571428571428572,1.0,0.0,0.0,16.0,,0.0,0.0,0.015873015873015872,32519.777761688987,
test,5000,0.75,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,0.1,70,0.17142857142857143,1.0,0.0,0.0,16.0,,0.0,0.0,0.06349206349206349,30726.843548033088,
test,5000,0.75,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,5.061702559429017,0.005,70,0.0,0.0,,,,,0.0,0.0,0.007936507936507936,,
test,5000,0.75,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,5.061702559429017,0.01,70,0.014285714285714285,1.0,0.0,0.0,22.0,,0.0,0.0,0.007936507936507936,36121.10843398135,
test,5000,0.75,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,5.061702559429017,0.02,70,0.014285714285714285,1.0,0.0,0.0,22.0,,0.0,0.0,0.015873015873015872,36121.10843398135,
test,5000,0.75,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,5.061702559429017,0.05,70,0.04285714285714286,1.0,0.0,0.0,15.0,,0.0,0.0,0.023809523809523808,30726.843548033088,
test,5000,0.75,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,5.061702559429017,0.1,70,0.05714285714285714,1.0,0.0,0.0,11.0,,0.0,0.0,0.023809523809523808,30726.843548033088,
test,5000,0.75,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7423023198141773,0.005,70,0.0,0.0,,,,,0.0,0.0,0.031746031746031744,,
test,5000,0.75,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7423023198141773,0.01,70,0.0,0.0,,,,,0.0,0.0,0.031746031746031744,,
test,5000,0.75,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7423023198141773,0.02,70,0.0,0.0,,,,,0.0,0.0,0.031746031746031744,,
