plant,seed,true_station,true_station_id,source_hidden,n_windows_during,detection_rate,top1,within1,mean_confidence,false_alarm_rate,infer_latency_s
"Plant A (serial, flagship)",7000,34,S35,True,63,0.7619047619047619,0.625,1.0,0.9625177558835266,0.03731343283582089,0.14689159393310547
"Plant A (serial, flagship)",7001,22,S23,False,54,0.9259259259259259,1.0,1.0,0.9991907664647453,0.0,0.14881229400634766
"Plant A (serial, flagship)",7002,7,S08,True,50,0.84,0.9761904761904762,1.0,0.8858314699163081,0.05442176870748299,0.15016961097717285
"Plant A (serial, flagship)",7003,34,S35,True,78,0.7435897435897436,0.9827586206896551,1.0,0.9353778233967044,0.0,0.14920902252197266
"Plant A (serial, flagship)",7004,40,S41,False,60,0.7166666666666667,1.0,1.0,0.9999999999999685,0.058394160583941604,0.14664793014526367
"Plant A (serial, flagship)",7005,31,S32,True,57,0.6140350877192983,0.42857142857142855,0.45714285714285713,0.939363163875254,0.0,0.14861798286437988
"Plant A (serial, flagship)",7006,1,S02,True,52,0.7692307692307693,1.0,1.0,0.8821444523344482,0.0763888888888889,0.17436957359313965
"Plant A (serial, flagship)",7007,36,S37,True,57,0.7017543859649122,1.0,1.0,0.9650903660578212,0.02158273381294964,0.1626908779144287
Plant B (parallel branch),7000,10,S11,True,65,0.0,,,,0.00625,0.12045812606811523
Plant B (parallel branch),7001,5,S06,False,63,1.0,1.0,1.0,1.0,0.031055900621118012,0.11540102958679199
Plant B (parallel branch),7002,7,S08,True,53,1.0,0.9056603773584906,1.0,0.8990612467253454,0.03508771929824561,0.10835433006286621
Plant B (parallel branch),7003,10,S11,True,79,0.0,,,,0.006896551724137931,0.10852289199829102
Plant B (parallel branch),7004,11,S12,False,60,1.0,1.0,1.0,1.0,0.11585365853658537,0.1071004867553711
Plant B (parallel branch),7005,9,S10,True,58,0.0,,,,0.0,0.1133577823638916
Plant B (parallel branch),7006,7,S08,True,57,1.0,0.8771929824561403,1.0,0.923886052379041,0.02976190476190476,0.12899494171142578
Plant B (parallel branch),7007,10,S11,True,59,0.0,,,,0.0,0.11067605018615723
Plant C (rework spur),7000,11,S12,True,77,0.0,,,,0.0,0.11609625816345215
Plant C (rework spur),7001,6,S07,False,55,1.0,1.0,1.0,1.0,0.08333333333333333,0.11584806442260742
Plant C (rework spur),7002,3,S04,True,56,1.0,1.0,1.0,0.8678714517174215,0.041916167664670656,0.11171483993530273
Plant C (rework spur),7003,11,S12,True,91,0.01098901098901099,0.0,0.0,0.552077023985039,0.0,0.10827159881591797
Plant C (rework spur),7004,12,S13,False,71,1.0,1.0,1.0,1.0,0.0392156862745098,0.10507082939147949
Plant C (rework spur),7005,10,S11,True,68,0.0,,,,0.0064516129032258064,0.11220335960388184
Plant C (rework spur),7006,3,S04,True,58,1.0,1.0,1.0,0.8851166915519303,0.04242424242424243,0.11784529685974121
Plant C (rework spur),7007,11,S12,True,66,0.0,,,,0.0,0.10954618453979492
